	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d	Z:\musculoskeletal_gait\align test\New Session\move01.c3d
	frame	frame	frame
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
622	-1.899271	6.628329	-177.180756
623	-1.288433	7.070726	-177.307816
624	-0.713802	7.571680	-177.404861
625	-0.207122	8.013762	-177.523315
626	0.400560	8.477142	-177.630676
627	0.980946	8.847978	-177.741089
628	1.590308	9.260661	-177.876373
629	2.206660	9.643484	-178.000549
630	2.815494	10.030822	-178.147964
631	3.415950	10.466001	-178.273361
632	4.016038	10.826545	-178.357101
633	4.620868	11.301162	-178.463760
634	5.184001	11.761248	-178.536652
635	5.742354	12.172526	-178.618027
636	6.286168	12.651810	-178.702759
637	6.845742	13.058563	-178.760422
638	7.337761	13.385745	-178.819214
639	7.791306	13.637384	-178.848282
640	8.305620	13.795540	-178.939026
641	8.719849	13.817451	-178.929611
642	9.155482	13.763560	-178.988419
643	9.603634	13.676513	-179.046555
644	9.956757	13.485523	-179.030258
645	10.349618	13.375440	-179.063019
646	10.668159	13.340350	-179.108368
647	11.059631	13.336159	-179.140152
648	11.277676	13.363760	-179.105621
649	11.583792	13.575790	-179.135208
650	11.822262	13.703661	-179.077103
651	12.028693	14.106280	-179.089417
652	12.149295	14.425934	-179.044205
653	12.247828	14.939404	-178.941452
654	12.396402	15.446082	-178.916229
655	12.463620	15.956223	-178.799683
656	12.496243	16.326651	-178.717148
657	12.596725	16.762470	-178.518326
658	12.614094	17.182392	-178.361176
659	12.634930	17.484261	-178.135544
660	12.657845	17.789415	-177.960007
661	12.651111	18.067633	-177.705566
662	12.641872	18.410236	-177.484650
663	12.608977	18.779385	-177.188309
664	12.562410	19.192219	-176.840302
665	12.471725	19.581364	-176.521545
666	12.367012	20.057335	-176.136856
667	12.295936	20.414026	-175.746552
668	12.168772	20.807699	-175.346741
669	12.024509	21.146660	-174.934113
670	11.849865	21.433817	-174.442917
671	11.706011	21.710403	-174.016739
672	11.519743	21.881727	-173.509796
673	11.314791	21.956427	-172.974945
674	11.133966	22.015768	-172.490601
675	10.886518	21.999012	-171.886703
676	10.722754	21.938404	-171.289429
677	10.464274	21.816896	-170.638138
678	10.187880	21.715187	-170.005585
679	9.956057	21.554749	-169.356125
680	9.680615	21.397661	-168.697479
681	9.370038	21.195759	-167.975998
682	9.049360	20.939703	-167.244263
683	8.702201	20.663456	-166.492386
684	8.398222	20.429995	-165.709183
685	8.126085	20.166636	-164.961746
686	7.709358	19.981058	-164.080536
687	7.332591	19.737375	-163.292374
688	6.924821	19.487295	-162.336288
689	6.574535	19.315989	-161.472061
690	6.073256	19.146255	-160.534698
691	5.597906	19.016932	-159.561874
692	5.130838	18.885139	-158.618973
693	4.621382	18.686237	-157.561523
694	4.149319	18.508644	-156.375839
695	3.653054	18.492426	-155.460815
696	3.156069	18.262722	-154.239456
697	2.692462	18.127419	-153.210403
698	2.052595	18.163576	-152.212128
699	1.566864	18.093294	-151.144104
700	1.026822	18.007900	-150.006668
701	0.520645	17.808058	-148.781937
702	-0.033695	17.749407	-147.597626
703	-0.581605	17.688404	-146.561081
704	-0.982652	17.281372	-145.261002
705	-1.398001	16.971674	-144.106964
706	-1.720522	16.583681	-142.922791
707	-2.083759	16.157427	-141.766251
708	-2.445179	15.811056	-140.616165
709	-2.605695	15.214469	-139.418732
710	-2.709241	14.771521	-138.412628
711	-2.876636	14.141211	-137.141129
712	-2.967768	13.650252	-136.143951
